"Name","Resolucion","Fecha Resolucion","Registro"
"Companía de María (Marianistas)","2384","1996-08-16","28"
"Compañía de María para la Educación de los Sordomudos.","763","1930-04-14","301"
"Compañía de San Pablo","1195","2002-07-08","296"
"Compañía de Santa Teresa de Jesús (Teresianas)","3085","1996-10-29","46"
"Compañía del Divino Maestro","2924","1997-10-03","114"
"Comunidad de San Gabriel                      AsocPrivFiel","3702","2000-12-20","258"
"Conferencia Argentina de Religiosos y Religiosas (CONFAR)","2162","1997-07-25","100"
"Congregación  de Nuestra Señora de la Inmaculada Concep - (Hnas Azules de Castres) - Pcia Cruz del Sur","2610","1998-07-16","177"
"Congregación  Hermanas de los Pobres de Santa Catalina de Siena","3283","2001-10-24","278"
"Congregacion  Nuestra Señora  de la Caridad del Buen Pastor","942","2004-05-17","313"
"CONGREGACION ""HIJAS DE NUESTRA SEÑORA DE LA SALUD""","286","2009-12-29","357"
"Congregación Argentina de Hermanas Dominicas del Santo Rosario (Dominicas Mendocinas)","3263","1997-10-30","122"
"Congregación Benedictina de la Santa Cruz - Orden de San Benito - (Abadía del Niño Dios)","3446","1996-11-27","1/1"
"Congregación Benedictina de la Santa Cruz del Cono Sur (Monasterio Nuestra Señora de la Paz)","1167","1997-05-08","1/2"
"Congregación Canonesas de la Cruz","1143","1997-05-08","79"
"Congregación de Hermanas Adoratrices del Santísimo Sacramamento bajo el patrocinio del Inmaculado Corazón de María (Hermanas Adoratrices Argentinas)","4012","1997-12-28","141"
"Congregación de Hermanas Albertinas Servidoras de los Pobres","26","1998-09-09","179"
"CONGREGACION DE HERMANAS DE LA VIRGEN  MARIA  DE GRANADA (HERMANAS  DE LA PRESENTACION)","3117","1996-10-29","47"
"Congregación de Hermanas de la Virgen María de Granada  (Hermanas de la Presentación)","3117","1996-10-29","47"
"Congregación de Hermanas de Nuestra Señora de la Consolación","305","2001-02-06","263"
"Congregación de Hermanas de San Carlos Borromeo, Hijas de la Iglesia","562","1998-02-13","149"
"Congregación de Hermanas de Santa Marta de Perigueux (Hermanas de Santa Marta)","3618","2001-11-29","287"
"Congregación de Hermanas Dominicas de San José - Argentinas -","2467","1997-09-02","104"
"Congregación de Hermanas Misioneras de San Carlos Borromeo (Scalabrinianas)","2816","1997-09-18","112"
"Congregación de la Misión","112","1999-06-04","216"
"Congregación de la Pasión de Jesucristo (Pasionistas)","97","1999-05-05","206"
"Congregación de la Santa Unión de los Sagrados Corazones (La Santa Unión)","3527","1997-11-17","126"
"Congregación de las Hermanas de Caridad de San Vicente de Paul de Zagreb (Vicentinas de Zagreb)","1222","2000-05-05","245"
"Congregación de las Hermanas de la Resurrección de Nuestro Señor Jesucristo","3845","2000-12-27","259"
"Congregación de las Hermanas de Nuestra Señora de la Inmaculada Concepción de Castres - Provincia Argentina/Uruguay","1102","2006-06-12","343"
"Congregación de las Hermanas de Nuestra Señora de la Inmaculada Concepción de Castres - Provincia Argentina/Uruguay","1102","2006-06-12","343"
"CONGREGACION DE LAS HERMANAS DE SAN JOSE DE CHAMBERY","496-2023","2023-09-01","405"
"Congregación de las Hermanas Docentes de Hallein Salzburg (Congregación de las Hermanas Franciscanas de Hallein Salz en Argentina)","200","1999-11-10","224"
"Congregación de las Hermanas Dominicas de Santa Catalina de Siena","2323","1997-08-22","98"
"Congregación de las Hermanas Dominicas de Santa Catalina de Siena - Provincia Argentina Latina","2613","2007-11-30","355"
"Congregación de las Hermanas Oblatas de Jesús y María","1477","2005-06-27","329"
"Congregación de las Hermanitas de la Inmaculada Concepción","1609","2003-11-17","305"
"Congregación de las Hermanitas de los Pobres","19","2006-01-09","337"
"Congregación de las Religiosas de Jesús María","695","2000-03-16","237"
"Congregación de las Religiosas de San José (Hnas. Josefin.)","681","1996-03-19","7"
"Congregación de las Religiosas de Santa Ana (Instituto Santa Ana de la Providencia)","3194","1996-11-06","50"
"Congregación de las Religiosas Siervas de Jesús de la Caridad","192","1999-10-07","222"
"Congregación de las Siervas del Corazón de María","966","2000-04-17","240"
"Congregación de los Agustinos de la Asunción. (Padres Asuncionistas)","552","2001-02-26","264"
"Congregación de los Clérigos Marianos de la Inmacula  da Concepción de la BVM (Congregación de los Padres Marianos de la Inmaculada Concepción)","3633","1996-12-18","62"
"Congregación de los Hijos de la Inmaculada Concepción (Concepcionistas)","1880","1997-07-10","92"
"Congregación de los Hijos de Santa María Inmaculada","93","1999-05-05","209"
"Congregación de los Misioneros de San Carlos - Congregación Scalabriniana - Padres Scalabrinianos","3445","1996-11-27","57"
"Congregación de los Misioneros Libaneses Maronitas (Congreg Clerical de Dcho Patriarcal)","120","1999-06-08","199"
"Congregación de los Oblatos de la Virgen María - Provincia de Santa María de los Buenos Aires","80","1998-01-12","144"
