"Name","Resolucion","Fecha Resolucion","Registro"
"Instituto Secular Misioneras del Amor Infinito (MISSAI)","2438","1996-09-06","30"
"Instituto Secular Nuestra Señora de Schönstatt","1131","2001-04-18","267"
"Instituto Secular Padres de Schoenstatt (Padres de Sch.)","592","1997-03-14","73"
"Instituto SERVI TRINITATIS (Asoc Pbl Fieles infieri Inst Sec)","1871","2001-06-11","273"
"Junta de Institutos Seculares en la Argentina (Conf.Relig.)","2609","1998-07-16","172"
"Las Pequeñas Siervas de la Sagrada Familia de Seul","3401","2000-11-16","254"
"Legionarios de Cristo","133     467","1996-01-24","2"
"Mensajeras de Jesús en la Familia     (AsocPrFinFInsSec)","2347","1998-06-18","170"
"Mensajeras de Jesús en la Familia  (AsocPblFin IVC)","3699","1997-11-24","127"
"Mínima Congregación de Siervas del Sagrado Corazón de Jesús","2006","2002-10-30","293"
"Misioneras Agustinas Recoletas","3590","1996-12-05","61"
"Misioneras Cruzadas de la Iglesia","3530","2000-11-16","256"
"Misioneras de Cristo Resucitado","936","1998-03-04","158"
"Misioneras de Jesús Verbo y Víctima","1644","2006-08-14","345"
"Misioneras de la Caridad","2367","1996-08-16","24"
"Misioneras de la Doctrina Cristiana","759","2000-03-28","239"
"Misioneras de la Inmaculada-Padre Kolbe","3814","1997-12-12","136"
"Misioneras de Nuestra Señora de Fátima","191","1999-10-07","221"
"Misioneras de Nuestra Señora del Perpetuo Socorro","1476","2005-06-27","328"
"Misioneras de San Antonio María Claret","889","1998-03-04","153"
"Misioneras Diocesanas de Jesús Sacerdote","1483","2003-10-27","306"
"Misioneras Diocesanas de María Madre de la Iglesia","2019","1997-07-18","94"
"Misioneras Esclavas del Inmaculado Corazón de María","2508","2005-11-01","334"
"MISIONERAS SERVIDORAS DEL EVANGELIO DE LA MISERICORDIA DE  DIOS  (SERVIDORAS DEL EVANGELIO)","305/2023","2023-06-05","404"
"Misioneros Claretianos o Misioneros Hijos del Inmac. Corazón de María. (Claretianos - Deleg de Humahuaca)","14","1999-02-10","134/1"
"Misioneros de Cristo Resucitado (As Publ Fiel in fieri VC)","96","1999-12-23","229"
"Misioneros de la Inmaculada Concepción de Lourdes  (PadresLourdistas)","2565","1997-09-08","111"
"Misioneros de la Sagrada Familia","33","2000-01-11","230"
"Misioneros de los Sagrados Corazones de Jesús y de María","3533","1997-11-17","128"
"Misioneros de los Sagrados Corazones de Jesús y de María (Mallorca)","3987","1997-12-23","140"
"Misioneros de Nuestra Señora de La Salette","1177","1998-04-02","163"
"Misioneros del Sagrado Corazón de Jesús","989","2000-04-17","242"
"MisionerosClaretianos o Misioneros Hijos del Inmaculado Corazón de María (Claretianos)","3813","1997-12-12","134"
"Monasterio de Carmelitas Descalzas Cristo Jesús y la Inmaculada del Carmen (Orden de la Bienaventurada Virgen María del Monte Carmelo)","1104","2004-06-09","6/29"
"Monasterio de la Preciosísima Sangre y Ntra Sra del Carmen de CD (Monjas Desc de la Orden de la BVM del MC)","2468","1997-09-02","6/17"
"Monasterio de Nuestra Señora del Rosario de Fátima (Monjas Misioneras Orantes y Penitentes de Nuestra Señora del Rosario de Fátima)","230","1999-12-07","228"
"Monasterio de San José y Santa Teresa (Monjas Descalzas de la Orden de la BVM del Monte Carmelo)","4011","1997-12-23","6/20"
"Monasterio de San José y Santa Teresa de Carmelitas Desc de Azul (Monjas D de la Orden de la BVM delMC)","2333","1997-08-22","6/17"
"Monasterio de Santa Catalina de Siena de Monj Dominicas","182","1998-01-19","147"
"Monasterio del Sagrado Corazón de Jesús y Ntra Señora del Monte Carmelo (Monjas Descalzas de la  Orden de la Bienaventurada Virgen María del Monte Carmelo)","4014","1997-12-23","6/19"
"Monasterio La Inmaculada del Valle Monjas de la Orden de Predicadores (Dominicas)","1320","2003-10-15","147/1"
"Monasterio Nuestra  Sradel Monte Carmelo y Sta Teresita del Niño Jesús (Monjas DdelaOd laBVMdelMC)","939","1998-03-04","6/21"
"Monasterio Nuestro Padre San José y Santa Teresita (Orden de la Bienaventurada Virgen María del Monte Carmelo)","850","2004-05-03","6/28"
"Monasterio Regina Martyrum (Monjas Descalzas  de la Orden de la Bienaventurada Virgen Maria del Monte Carmelo)","3722","2001-12-14","6/26"
"Monasterio San Bernardo (Orden de Carmelitas Descalzas de  la Bienaventurada Virgen del Monte Carmelo)","447","2003-07-11","6/27"
"Monasterio San José de Carmelitas Descalzas de Nueve de Julio (Monjas Descalzas de la Orden de la BVM del Monte Carmelo)","3979","1997-12-23","6/18"
"Monasterio San José y Sta Teresa  de CD de Gualeguaychú (Monjas DdelaOrden de la BVM del M C)","2311","1998-06-18","6/22"
"Monasterio Santa Gema (Religiosas de la Santísima Cruz y Pasión de Jesucristo)","94","1999-05-05","211"
"Monjas Benedictinas de la Congregación Benedictina del Cono Sur (Monast Nuestra Señora de la Fidelidad)","2","1997-01-02","4/2"
"Monjas Benedictinas de la Congregación Benedictina del Cono Sur (Monasterio Nuestra Señora del Paraná)","2365","1996-08-16","4/1"
"Monjas Descalzas de la BVM del Monte Carmelo (Monasterio del  Niño Jesús de Praga)","615","1997-03-14","6/6"
"Monjas Descalzas de la BVM del Monte Carmelo (Monasterio del Santísimo Corpus Christi y San Juan de la Cruz de C.D.)","320","1997-02-13","6/11"
"Monjas Descalzas de la Orden de la BVM del M Carmelo (Monasterio StaTeresa del Nñ Jesús y de la StaFaz de CD Carmelo Lisieux Arg)","3","1997-01-02","6/7"
"Monjas Descalzas de la Orden de la BVM del MCarmelo  (Monast de NS de Belén y SJosé de CD de Alta Gracia)","3444","1996-11-27","6/4"
"Monjas Descalzas de la Orden de la BVM del MCarmelo  Monasterio Ntra Sra de las Nieves y Sta Teresita (CD)","1608 y  1665","1996-06-12",""
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo (Monasterio Ntra Sra del MC y S José de CD)","1588","1997-06-11","6/14"
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo (Monasterio Ntra Sra. de la Paz de CD)","599","1997-03-14","6/13"
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo (Monasterio Nuestra Señora del Rosario de CD)","156","1997-01-17","6/9"
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo (Monasterio Santa María de Luján de CD)","207","1997-02-04","6/10"
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo (Monasterio Sta Teresa de Jesús de CD)","4","1997-01-02","6/8"
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo - Monast de Ntra Sra de Río Blanco y S Jose (CD)","1182","2000-05-05","6/23"
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo -Monasterio de María de CD","1428","2001-05-04","6/25"
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo -Monasterio Santa María de la Pampa","2572","2000-09-13","6/24"
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo(Monasterio Carmelo del Esp Sto y María Madre de la Ig)","1584","1997-06-11","6/15"
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo(Monasterio San Joséde Diadema Argentina de CD)","364","1997-02-19","6/12"
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo-Monasterio de Sta Cruz y San José de CD","683","1996-03-19","6"
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo-Monasterio San José de CDescalzas","2694","1996-09-23","6/2"
"Monjas Descalzas de la Orden de la BVM del Monte Carmelo. (Monasterio de San José de C D de Bs Aires)","3119","1996-10-29","6/3"
"Monjas Descalzas de laOrden de la BVM del Monte Carmelo (Monasterio del Amor Misericordioso y Sta Teresa del Niño Jesús de CD)","3570","1996-12-05","6/5"
"Monjes de la Santa Cruz","1986","0007-09-20","352"
"Oblatos Diocesanos -Instituto Secular-","1136","1997-05-08","82"
"Orantes de la Asunción","3570","1997-11-20","129"
"Oratorio Mariano Madre del Pueblo de Dios","125","2004-01-26","307"
"Orden Cartujana (Cartuja)","3696","1997-11-24","133"
"Orden Cistercience de la Estrecha Observancia (Hermanas Trapenses)","3049","1997-10-16","119"
"Orden de Agustinos Recoletos","1230","1997-05-13","84"
"Orden de Frailes Menores - Provincia Franciscana de la Asunción de la Santísima Virgen del Río de la Plata","2671","2001-08-24","14/2"
"Orden de Frailes Menores - Provincia Franciscana de la Inmaculada Concepción","238","2005-02-18","14/4"
"Orden de Frailes Menores - Provincia Franciscana San Miguel","1506","1996-05-28","14"
"Orden de Frailes Menores - Viceprovincia San Francisco Solano","1690","1998-05-13","14/1"
"Orden de Frailes Menores-Pcia.Franciscana SMiguel","1506","1996-05-28","14"
"Orden de Hermanos Menores - Pcia. Franciscana de San Jeronimo en Dalmacia","1619","2003-10-15","14/3"
"Orden de la Bienaventurada Virgen María de la Merced","215","2001-01-22","260"
"Orden de la Compañía de María Nuestra Señora","1712","1998-05-13","165"
"Orden de la Inmaculada Concepción (Madres Concepcionistas Franciscanas)","3664","2001-12-03","286"
"Orden de la Santísima Trinidad (Padres Trinitarios)","1710","1998-05-13","166"
"Orden de la Visitación de Santa María","1635","2001-05-28","271"
"ORDEN DE LA VISITACION DE SANTA MARIA - MONASTERIO DE LA VISITACION DE SANTA MARIA, EN LA VILLA DE LA CONCEPCION DEL RIO CUARTO","1456","2007-07-18","271/1"
"Orden de las Hermanas Pobres de Santa Clara (Monasterio de Santa Clara)","2111","1996-07-24","17"
"Orden de las Hermanas Pobres de Santa Clara - Monasterio de Santa Clara de Puán (Clarisas)","1160","2000-05-05","17/1"
"Orden de los Clérigos Regulares","56","1998-10-09","191"
"Orden de los Clérigos Regulares de San Pablo (Barnabitas)","48","1999-03-23","204"
"Orden de los Clérigos Regulares Pobres de la Madre de Dios de las Escuelas Pías (Orden de las Escuelas Pías-Padres Escolapios)","3256","2000-11-02","253"
"Orden de los Hermanos Menores Capuchinos (O de los Frailes Menores del Convento de la Iglesia de Nuestra Señora de Pompeya)","3842","1997-12-12","135"
"Orden de los Ministros de los Enfermos (Relig Camilos)","89","1999-05-05","210"
"Orden de los Siervos de María (Siervos de María)","2725","1996-09-23","40"
"Orden de Predicadores (Dominicos)","2161","1997-07-25","96"
"Orden de Predicadores - Provincia de Aragón","2054","2006-09-28","96/2"
"Orden de Predicadores - Vicaría Argentina de la Provincia de Irlanda (Dominicos)","3983","1997-12-23","96/1"
"Orden de Vírgenes Consagradas","24","2005-01-13","320"
"Orden Franciscana de Frailes Menores Conventuales (Orden Franciscana de FM - Provincia  Rioplatense San Antonio de Padua)","2806","1996-10-02","42"
"Orden Hospitalaria de S Juan de Dios - Pcia Sudamer Meridional  (Hnos Hospit de Sjuan de D - Centro de  Rehabilitación S Juan de D)","1003","1997-04-21","69/1"
"Orden Hospitalaria de San Juan de Dios - Pcia Sudameric Meridional (Hnos Hospitalarios S Juan de Dios)","200","1997-02-04","69"
"Orden Hospitalaria de SJuan de Dios - Pcia Sudamer Meridional  (Hnos Hospitalarios de SJuan de D Casa Ntra Sra  del Pilar)","1026","1997-04-21","69/3"
"Orden Hospitalaria de SJuan de Dios - Pcia Sudamer Meridional (Hnos Hospitalarios de SJuan de D-Casa Hospital SJuandeD)","1004","1997-04-21","69/2"
"Orden Maronita dela Beata MV(Ord Maronita Marianita)","1221","2000-05-05","244"
"Orden San Basilio Magno de San Josafat","1597","2002-09-05","297"
"OrdendelosHnosde San Agustín (Orden de San Agustín)","1332","1997-05-22","83"
"Pequeña Obra de la Divina Providencia","55","1998-10-09","195"
"Pequeñas Hermanas de la Divina Providencia","145","1999-07-02","218"
"Pequeñas Hermanas de la Sagrada Familia","1176","1998-04-02","162"
"Pequeñas Hermanas Misioneras de la Caridad (Hnas de Don Orione)","772","1997-04-04","77"
"Pía Sociedad de las Hijas de San Pablo (HnasPaulinas)","1322","1997-05-22","85"
"Pia Sociedad de San Cayetano","1598","2002-09-05","295"
"Pía Unión Hermanas Misioneras de la Virgen Milagrosa","447","2006-03-17","339"
"Pio Instituto Calasancio de Hijas de la Divina Pastora","2514","2002-12-27","300"
"Pobres Hijas de San Cayetano (Hnas de San Cayetano)","3721","1996-12-23","66"
"Religiosas de María Inmaculada","2348","1998-06-18","169"
"Religiosas de María Inmaculada Misioneras Claretianas","2567","1997-09-08","108"
"Religiosas de Santa Marta","3698","2000-12-20","257"
"Religiosas Dominicas de Santa Rosa de Lima","211","1999-11-18","227"
"Religiosas Hijas de Cristo Rey","3697","1997-11-24","131"
"Religiosas Misioneras de la Inmaculada Concepción","2383","1997-08-27","102"
"Religiosos Terciarios Capuchinos de Nuestra Señora de los Dolores","519","2005-03-21","323"
"Sacerdotes del Sagrado Corazón de Betharrám","18","1999-02-10","192"
"Sacerdotes del Sagrado Corazón de Jesús (Dehonianos)","157","1997-01-17","70"
"Sacerdotes Misioneros de la Familia","818","2003-08-25","302"
"Sección de las Focolarinas (Focolares Femeninos) de la Obra de María, Movimiento de los Focolares","2380","1996-08-16","25/2"
"Sección de los Focolarinos (Focolares Masculinos) de la Obra de María, Movimiento de los Focolares","2382","1996-08-16","25/1"
"Servidoras","2925","1997-10-03","115"
"Servidoras del Señor y de la Virgen de Matará","1103","2006-06-12","344"
"Servidoras del Señor y de la Virgen de Matará","1103","2006-06-12","344"
"Siervas de Jesús Obrero","3455","2001-11-15","284"
"Siervas de la Divina Providencia","40","1998-09-17","176"
"Siervas de María de Anglet","213","1999-11-18","225"
"Siervas de María Dolorosa de Nocera","1608","1997-06-11","87"
"Siervas de María Ministras de los Enfermos (Siervas de María)","2191","1996-08-01","19"
"Siervas de San José","53","1998-10-09","182"
"Siervas del Espíritu Santo de Perpetua Adoración (Convento del Divino Amor)","3261","1997-10-30","124"
"Sociedad de  Misiones Africanas","2701","2001-08-24","276"
"Sociedad de las Divinas Vocaciones (Padres Vocacionistas)","3196","1996-11-06","51"
"Sociedad de Misioneros Diocesanos","677","2007-04-13","268"
"Sociedad de San Francisco de Sales (Salesianos de Don Bosco) Inspectoría Nuestra Señora del Rosario","3989","1997-12-23","31/1"
"Sociedad de San Francisco de Sales (Salesianos de Don Bosco) Inspectoría San Francisco de Sales","2410","1996-09-03","31"
"Sociedad de San Francisco de Sales - Salesianos de Don Bosco - Inspectoría San Francisco Javier","3988","1997-12-23","31/2"
"Sociedad de San Francisco de Sales - Salesianos de Don Bosco - Inspectoría San Francisco Solano","19","1998-09-07","31/3"
"Sociedad de San Pablo (Paulinos)","736","1998-03-04","151"
"Sociedad de Servicio Social Misionero","96","1999-05-05","214"
"Sociedad del Apostolado Católico (Palotinos) Pcia Irlandesa","844","2000-04-07","236"
"Sociedad del Apostolado Católico. (Palotinos)-Región Nuestra Señora de Luján","1410","2000-05-24","236/1"
"Sociedad del Sagrado Corazón de Jesús","57","1998-10-09","194"
"Sociedad Hijas del Divino Salvador","8171481","2003-08-25","299"
"Sociedad San Francisco de Sales - Salesianos de Don Bosco - Inspectoría Nuestra Señora de Luján.","66","1999-04-08","31/4"
"Sodalitium Christianae Vitae","520","2005-03-21","322"
"Trabajadoras  Misioneras de la Inmaculada de la Familia Misionera Donum Dei","2791","2000-09-29","171"
"Unión de las Hermanas Dominicas Santo Tomásde Aquino","87","1999-05-05","208"
"UNION DEL APOSTOLADO CATOLICO (PALOTINOS)","1454","2007-07-18","236/2"
